      --------Part 1--------   --------Part 2--------
Day       Time   Rank  Score       Time   Rank  Score
 10   00:19:53   3946      0   01:08:33   7178      0
  9   01:06:18   9005      0   09:13:34  25810      0
  8   00:26:45   4778      0   01:37:00  10236      0
  7   00:43:43   3983      0   00:50:06   3504      0
  6   00:08:39   5152      0   00:09:34   4247      0
  5   00:34:28   6594      0   00:37:22   5813      0
  4   00:08:54   3923      0   00:18:03   5992      0
  3   06:43:58  48434      0   06:51:59  43427      0
  2   00:22:11   9012      0   00:37:44  10159      0
  1   00:06:12   3436      0   00:08:12   2917      0
